iter	Passed	Remaining
826	25043	5238
827	25083	5210
828	25122	5182
829	25165	5154
830	25211	5127
831	25252	5099
832	25294	5071
833	25336	5043
834	25382	5015
835	25432	4989
836	25485	4963
837	25541	4937
838	25597	4912
839	25649	4885
840	25707	4860
841	25752	4832
842	25801	4805
843	25841	4776
844	25878	4747
845	25910	4716
846	25941	4686
847	25972	4655
848	26001	4624
849	26032	4594
850	26062	4563
851	26089	4532
852	26124	4502
853	26161	4472
854	26192	4441
855	26225	4411
856	26257	4381
857	26280	4349
858	26310	4318
859	26339	4287
860	26368	4256
861	26401	4226
862	26429	4195
863	26456	4164
864	26486	4133
865	26515	4102
866	26542	4071
867	26584	4042
868	26617	4012
869	26645	3981
870	26678	3951
871	26711	3920
872	26739	3889
873	26771	3859
874	26802	3828
875	26835	3798
876	26866	3768
877	26911	3739
878	26938	3708
879	26972	3678
880	27004	3647
881	27034	3616
882	27061	3585
883	27090	3554
884	27122	3524
885	27149	3493
886	27182	3462
887	27213	3432
888	27240	3401
889	27269	3370
890	27297	3339
891	27328	3308
892	27362	3278
893	27391	3247
894	27416	3216
895	27448	3185
896	27475	3154
897	27506	3124
898	27538	3093
899	27565	3062
900	27597	3032
901	27628	3001
902	27655	2970
903	27684	2939
904	27716	2909
905	27747	2878
906	27783	2848
907	27815	2818
908	27842	2787
909	27872	2756
910	27899	2725
911	27928	2694
912	27961	2664
913	27988	2633
914	28017	2602
915	28044	2571
916	28074	2541
917	28105	2510
918	28135	2479
919	28163	2448
920	28197	2418
921	28224	2387
922	28255	2357
923	28286	2326
924	28314	2295
925	28344	2265
926	28377	2234
927	28406	2203
928	28436	2173
929	28467	2142
930	28497	2112
931	28523	2081
932	28555	2050
933	28583	2019
934	28612	1989
935	28644	1958
936	28673	1927
937	28704	1897
938	28732	1866
939	28759	1835
940	28791	1805
941	28823	1774
942	28854	1744
943	28897	1714
944	28927	1683
945	28955	1652
946	28988	1622
947	29021	1591
948	29051	1561
949	29083	1530
950	29112	1500
951	29140	1469
952	29173	1438
953	29216	1408
